A book is like a garden carried in the pocket.          Arab Proverb 
A bird in the hand is worth two in a bush.          English Proverb 
A broken hand works, but not a broken heart.          Persian Proverb 
A cat has nine lives.          Proverb of Unknown Origin 
A closed mouth catches no flies.          Italian Proverb 
A country can be judged by the quality of its proverbs.          German Proverb 
A courtyard common to all will be swept by none.          Proverb, Chinese 
A dog is wiser than a woman; it does not bark at its master.           Russian Proverb 
A drink precedes a story.          Irish Proverb 
A drowning man is not troubled by rain.          Persian Proverb 
A fool sees not the same tree that a wise man sees.          William Blake "Proverbs of Hell" (1790) 
A forest is in an acorn.          Proverb of Unknown Origin 
A friend in need is a friend indeed          English Proverb 
A friend's eye is a good mirror.          Irish Proverb 
A good denial, the best point in law.          Irish Proverb 
A good husband is healthy and absent.          Japanese Proverb 
A hard beginning maketh a good ending.           John Heywood "The Proverbs of John Heywood" (1546) 
A healthy man is a successful man.          French Proverb 
A hedge between keeps friendship green.          French Proverb 
A hen is heavy when carried far.          Irish Proverb 
A hound's food is in its legs.          Irish Proverb 
A house without a dog or a cat is the house of a scoundrel.          Portuguese Proverb 
A hungry man is an angry man.          English Proverb 
A lie travels round the world while truth is putting her boots on.          French Proverb 
A little too late, is much too late.          German Proverb 
A loan though old is not gift.          Hungarian Proverb 
A lock is better than suspicion.          Irish Proverb 
A man does not seek his luck, luck seeks its man.          Turkish Proverb 
A man is not honest simply because he never had a chance to steal.          Yiddish Proverb 
A man may well bring a horse to the water, but he cannot make him drink.          John Heywood "The Proverbs of John Heywood" (1546) 
A man should live if only to satisfy his curiosity.          Yiddish Proverb 
A monkey never thinks her baby's ugly.          Haitian Proverb 
A new broom sweeps clean, but the old brush knows all the corners.          Irish Proverb 
A penny for your thoughts.          John Heywood "The Proverbs of John Heywood" (1546) 
A penny saved is a penny gained.          Scottish Proverb 
A poor beauty finds more lovers than husbands.          English Proverb  
A prudent man does not make the goat his gardener.          Hungarian Proverb 
A rumor goes in one ear and out many mouths.           Chinese proverb 
A silent mouth is melodious.          Irish Proverb 
A single Russian hair outweighs half a Pole.           Traditional Russian Saying 
A society grows great when old men plant trees whose shade they know they shall never sit in.          Greek Proverb 
A soft answer turneth away wrath: but grievous words stir up anger.          Bible - Proverbs 15:1. 
A son is a son till he gets him a wife, But a daughter's a daughter the rest of your life.          Proverb of Unknown Origin 
A spoon does not know the taste of soup, nor a learned fool the taste of wisdom.          Welsh Proverb 
A table is not blessed if it has fed no scholars.          Yiddish Proverb 
A teacher is better than two books.          German Proverb 
A thief believes everybody steals.          Proverb of Unknown Origin 
A thorn defends the rose, harming only those who would steal the blossom.          Chinese proverb 
A throne is only a bench covered with velvet.          French Proverb 
A trade not properly learned is an enemy.          Irish Proverb 
A tree falls the way it leans.          Bulgarian Proverb 
A white Christmas fills the churchyard.          French Proverb 
A wise man hears one word and understands two.          Yiddish Proverb 
A wise man makes his own decisions, an ignorant man follows the public opinion.          Chinese Proverb 
A woman has the form of an angel, the heart of a serpent, and the mind of an ass.          German Proverb 
A worthy woman is far more precious than jewels, strength and dignity are her clothing.          Bible - Proverbs 31 
Act in the valley so that you need not fear those who stand on the hill.          Danish Proverb 
Advice should be viewed from behind.          Swedish Proverb 
Advice when most needed is least heeded.          English Proverb 
After shaking hands with a Greek, count your fingers.           Albanian Saying 
Age is honorable and youth is noble.          Irish Proverb 
All is well that ends well.          John Heywood "The Proverbs of John Heywood" (1546) 
All things grow with time, except grief.          Yiddish Proverb 
An angry man is not fit to pray.          Yiddish Proverb 
An apple a day keeps the doctor away.          Proverb of Unknown Origin 
An ass in Germany is a professor in Rome.           Traditional German Saying 
An enemy will agree, but a friend will argue.          Russian Proverb 
An Englishman will burn his bed to catch a flea.          Turkish Proverb 
An ox remains an ox, even if driven to Vienna.          Hungarian Proverb 
And old rat is a brave rat.          French Proverb 
Anger can be an expensive luxury.          Italian Proverb 
Anger is as a stone cast into a wasp's nest.          Malabar Proverb 
Anger without power is folly.          German Proverb 
Appetite comes with eating.          French Proverb 
As a dog returneth to his vomit, so a fool returneth to his folly.          Bible - Proverbs 26:11 
As a man thinketh in his heart, so is he.           Bible - Proverbs 23:7 
As cold waters to a thirsty soul, so is good news from a far country.          Bible - Proverbs 25:25. 
As mad as a March hare.          Proverb of Unknown Origin 
As proud as a peacock.          Proverb of Unknown Origin 
As sluttish and slatternly as an Irishwoman bred in France.           Traditional Irish Saying 
